Elise,UTILITY,true,assistMePingsPerMins,0.2036,0.035,0.102,0.249
Elise,UTILITY,true,commandPingsPerMins,0.4483,0.131,0.298,0.603
Elise,UTILITY,true,enemyMissingPingsPerMins,0.3153,0.094,0.221,0.396
Elise,UTILITY,true,enemyVisionPingsPerMins,0.3259,0.071,0.238,0.507
Elise,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
Elise,UTILITY,true,getBackPingsPerMins,0.1767,0.0,0.066,0.264
Elise,UTILITY,true,needVisionPingsPerMins,0.0114,0.0,0.0,0.0
Elise,UTILITY,true,onMyWayPingsPerMins,1.137,0.455,0.855,1.495
Elise,UTILITY,true,pushPingsPerMins,0.0266,0.0,0.0,0.034
Elise,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
Elise,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
FiddleSticks,UTILITY,true,totalPingsPerMins,2.0945,1.0905,1.713,2.7005
FiddleSticks,UTILITY,true,allInPingsPerMins,0.0332,0.0,0.0,0.031
FiddleSticks,UTILITY,true,assistMePingsPerMins,0.1594,0.0,0.096,0.227
FiddleSticks,UTILITY,true,commandPingsPerMins,0.4354,0.1405,0.327,0.6155
FiddleSticks,UTILITY,true,enemyMissingPingsPerMins,0.2759,0.0995,0.205,0.359
FiddleSticks,UTILITY,true,enemyVisionPingsPerMins,0.2453,0.0,0.127,0.371
FiddleSticks,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
FiddleSticks,UTILITY,true,getBackPingsPerMins,0.1171,0.0,0.039,0.169
FiddleSticks,UTILITY,true,needVisionPingsPerMins,0.0097,0.0,0.0,0.0
FiddleSticks,UTILITY,true,onMyWayPingsPerMins,0.7985,0.2425,0.548,1.0835
FiddleSticks,UTILITY,true,pushPingsPerMins,0.0201,0.0,0.0,0.025
FiddleSticks,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
FiddleSticks,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
