1762101454790,1963,7590089091,15.21.721.8442,EUW1,420,100,False,7,False,False,1,1,0,1,200,True,10,True,True,0,4,3,0,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,354,200,7,True,8,3,13,4,7,0,15,0,4,0,0,0,18269,17,35,Shaco,13,6,11,JUNGLE,JUNGLE,182,3923,50643,3923,2,0,5,4,1,36,False,False,False,3,1,0,0,62,83,72,87,14,11,7,19,13119,4970,20781,3,128,8,47
1762094724048,1356,7589923449,15.21.721.8442,EUW1,420,100,False,1,True,False,0,1,1,1,200,True,4,False,True,0,2,2,0,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,100,2,False,1,1,9,0,5,0,0,3,0,0,0,0,10771,13,35,Shaco,6,4,2,JUNGLE,JUNGLE,158,0,12351,0,0,0,3,4,0,20,False,True,False,0,0,0,0,36,59,60,45,14,11,3,13,4207,2971,8215,1,92,32,5
1762092425021,1795,7589875266,15.21.721.8442,EUW1,420,100,False,4,True,False,0,0,2,1,200,True,9,False,True,1,4,1,0,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,100,2,False,2,0,12,7,7,0,2,4,0,0,0,0,11553,14,35,Shaco,2,7,8,JUNGLE,JUNGLE,147,835,17196,835,1,0,2,2,0,13,False,False,False,0,0,0,0,54,95,99,67,14,11,5,18,750,17550,21023,0,120,7,14
1761951133081,1656,7588186581,15.21.721.8442,EUW1,420,100,False,3,False,False,0,1,3,0,200,True,10,True,True,0,2,0,1,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,100,2,False,4,3,14,5,2,0,1,15,1,1,0,0,10888,13,35,Shaco,4,8,5,JUNGLE,JUNGLE,132,27,16868,27,0,0,2,5,0,19,False,False,False,1,0,0,0,51,70,59,46,14,11,3,14,6325,3818,11491,1,80,22,21
1761928927958,1584,7587731321,15.21.721.8442,EUW1,420,100,True,10,False,True,1,3,0,0,200,False,3,True,False,0,0,3,1,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,100,2,True,5,5,22,2,4,0,2,0,2,0,0,0,16997,17,35,Shaco,12,1,4,JUNGLE,JUNGLE,187,4221,44346,4221,0,1,3,5,0,25,False,False,False,1,0,0,0,59,73,71,146,14,11,5,17,10383,3935,16152,2,96,47,19
1761408822350,2113,7580797126,15.21.721.8442,EUW1,420,100,False,4,True,True,0,2,2,0,200,True,11,False,False,2,3,1,1,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,200,7,True,5,3,20,6,6,0,1,2,1,0,0,0,21452,18,35,Shaco,10,5,17,JUNGLE,JUNGLE,178,3758,39411,3758,4,0,7,10,0,36,False,False,False,1,0,0,0,68,84,73,91,14,11,8,22,13175,4948,21673,2,90,49,54
1761400234127,1338,7580602421,15.21.721.8442,EUW1,420,100,True,5,True,True,0,1,3,1,200,False,3,False,False,0,2,0,0,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,200,7,False,7,3,13,4,6,0,1,2,0,0,0,0,10143,13,35,Shaco,2,2,6,JUNGLE,JUNGLE,139,237,10986,237,0,0,2,4,0,19,False,True,False,0,0,0,0,43,77,71,79,14,11,4,13,1042,9876,12292,2,78,31,14
1761399007178,832,7580579906,15.21.721.8442,EUW1,420,100,True,0,False,False,0,0,3,0,200,False,0,False,False,0,1,0,0,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,200,7,False,3,1,4,3,3,0,0,0,1,0,0,0,5163,9,35,Shaco,1,2,2,JUNGLE,NONE,78,352,5398,352,0,0,4,0,0,8,False,True,False,0,0,0,0,25,37,30,30,14,11,2,8,1075,2529,4034,1,57,9,3
1761236580352,1134,7578316992,15.21.720.925,EUW1,420,100,False,1,False,False,0,0,1,0,200,True,5,True,False,0,1,2,1,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,200,7,True,5,2,11,11,2,0,0,0,6,0,0,0,9508,12,35,Shaco,3,2,5,JUNGLE,NONE,137,757,19300,757,0,0,3,2,0,13,False,True,False,0,0,0,0,42,62,75,22,14,11,4,10,578,3328,4561,1,95,12,5
1761218460084,1679,7578006682,15.21.720.925,EUW1,420,100,True,10,True,True,1,3,1,1,200,False,0,False,False,0,1,2,0,H2hcZIzqqqS5lF6MkRuFVZsZ-l-gsJzq9iAxW2XA4pj6T0oo5UEv5EnnwfBeyE8lDYYj503ZmKbpYg,Hungry Hunt,EUW,okK3OkYgA7aMP2XSG5neUVBGvhbSdf-fRLPEZY4zh5v29Pk,353,200,7,False,2,5,13,5,31,0,1,3,3,1,0,0,10977,13,35,Shaco,3,7,2,JUNGLE,JUNGLE,145,0,9536,0,0,0,2,3,0,15,False,False,False,0,0,0,0,49,69,71,52,14,11,5,16,5317,3613,10879,1,114,6,35
